,smiles,mols
28,CCCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454210>
29,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@@H](CC7=CC=CC=C7)C(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC8=CN=CN8)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC9=CC=C(C=C9)O)NC(=O)C,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454260>
30,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4542B0>
31,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454300>
32,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454350>
33,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4543A0>
34,CC(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4543F0>
35,CC(=O)OCC[N+](C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454440>
36,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454490>
37,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4544E0>
38,C1=CO[C@@H]([C@H]([C@@H]1O)O)C(=O)O.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454530>
39,C(C1C(C(C(C(O1)O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454580>
40,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4545D0>
41,N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454620>
42,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454670>
43,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4546C0>
44,C(CC(C(=O)O)N)CN=C(N)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454710>
45,C1=CC=C(C=C1)CO,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454760>
46,C[N+](C)(C)CC(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4547B0>
47,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)NCC(=O)NCC(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CS)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)[C@H](CC7=CNC8=CC=CC=C87)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]9CCCN9C(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CCSC)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454800>
48,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454850>
49,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4548A0>
50,I,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4548F0>
51,[Ca+2],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454940>
52,C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454990>
53,C,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4549E0>
54,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454A30>
55,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454A80>
56,CC1=NC=CN1.C1C(O1)CCl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454AD0>
57,C[N+](C)(C)CCO,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454B20>
58,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454B70>
59,[Cl-],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454BC0>
60,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454C10>
61,CCOC1=CC=CC=C1O[C@H]([C@@H]2CNCCO2)C3=CC=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454C60>
62,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454CB0>
63,CC1=C(C(C(=C(N1)C)C(=O)OC(C)(C)CN(C)CCC(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454D00>
64,C1=CC=C(C(=C1)C(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454D50>
65,CC1=CC=CN2C1=NC=C(C2=O)C3=NNN=N3,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454DA0>
66,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454DF0>
67,C1C(C(=O)NO1)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454E40>
68,CCN(CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454E90>
69,CCOC1=CC=CC=C1OCCN[C@@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454EE0>
70,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454F30>
71,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F454F80>
72,C(C(C(C(C(CO)O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455030>
73,CC[C@@H]([C@H](C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5C[C@](OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455080>
74,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)OP(=O)([O-])[O-])S(=O)(=O)C3=CC=C(C=C3)N.[Ca+2],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4550D0>
75,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455120>
76,CCC1=NC=CC(=C1)C(=S)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455170>
77,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4551C0>
78,C1=CC=C(C=C1)C2=NC3=C(N=C2N)N=C(N=C3N)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455210>
79,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455260>
80,C(CCC(=O)O)CCN,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4552B0>
81,CC(=O)NC(CS)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455300>
82,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455350>
83,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4553A0>
84,C(CS(=O)(=O)O)S,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4553F0>
85,CNC1=CC=C(C=C1)/C=C/C2=CN=C(C=C2)OCCOCCOCC[18F],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455440>
86,CC(C(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455490>
87,CN1C2=C(C(=O)N(C1=O)C)NC=N2.C[N+](C)(C)CCO,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4554E0>
88,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455530>
89,C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455580>
90,C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCO)CCCl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4555D0>
91,[H+].[H+].CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.C1=CC=C(C=C1)COCC(C(=O)[O-])N(CCN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455620>
92,CN1C[C@@H]2C(C1)C3=CC=CC=C3OC4=C2C=C(C=C4)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455670>
93,CS(=O)C,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4556C0>
94,C1=CC(=C(C=C1CCN)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455710>
95,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455760>
96,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4557B0>
97,C(CO)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455800>
98,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455850>
99,CC(C)OC(=O)CCCC=CC[C@H]1[C@H](C[C@H]([C@@H]1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4558A0>
100,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4558F0>
101,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455940>
102,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455990>
103,C1CC2C(=O)NC(CSSCCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F4559E0>
104,CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COS(=O)(=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)[O-])O[C@@H]3[C@@H]([C@H](C([C@H](O3)COS(=O)(=O)[O-])O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)[O-])O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COS(=O)(=O)[O-])O)O)NS(=O)(=O)[O-])O)O)OS(=O)(=O)[O-])NS(=O)(=O)[O-])O)OS(=O)(=O)[O-])O)NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455A30>
105,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455A80>
106,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455AD0>
107,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455B20>
108,C(CC(=O)N)C(C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455B70>
109,CC1=NC=C(C=C1)C2=NC=C(C=C2C3=CC=C(C=C3)S(=O)(=O)C)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455BC0>
110,C[C@@H]1C[C@H]2C3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)Cl)C,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455C10>
111,C[C@]12CCC(=O)C=C1C[C@H](C3[C@]24C(O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455C60>
112,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC(=CC=C4)NC(=O)C)C5CC5,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455CB0>
113,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H]([C@H](NC(=O)C2[C@H](CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](CCN)O)O)NCCN)O.CC(=O)O.CC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455D00>
114,C(C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455D50>
115,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455DA0>
116,C(C(CO)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455DF0>
117,CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455E40>
118,C1C[C@H]2CN(C(=O)C3=C2C(=CC=C3)C1)[C@@H]4CN5CCC4CC5,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455E90>
119,C(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455EE0>
120,C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455F30>
121,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F455F80>
122,C1=C(NC=N1)CCN,<rdkit.Chem.rdchem.Mol object at 0x0000023A7F456030>
